,COUNTRIES,TOTAL CASES,NEW CASES,NEW DEATHS,TOTAL DEATHS,TOTAL RECOVERED
397,French Polynesia,694,,,,360
398,Channel Islands,631,,,48,575
399,Turks and Caicos,598,+7,,5,264
400,Sint Maarten,511,,,19,302
401,Tanzania,509,,,21,183
402,Taiwan,493,+1,,7,473
403,Papua New Guinea,488,,,5,232
404,Burundi,460,,,1,357
405,Comoros,452,,,7,410
406,Faeroe Islands,413,,,,379
407,Mauritius,356,,,10,335
408,Isle of Man,337,+1,,24,312
409,Eritrea,330,,,,295
410,Gibraltar,315,+3,,,273
411,Mongolia,310,,,,296
412,Cambodia,274,,,,272
413,Saint Martin,239,,,6,79
414,Bhutan,228,,,,150
415,Cayman Islands,205,,,1,204
416,Barbados,178,,,7,154
417,Bermuda,175,,,9,158
418,Monaco,147,,,1,102
419,Brunei,145,,,3,139
420,Seychelles,136,,,,127
421,Liechtenstein,107,,,1,97
422,Antigua and Barbuda,95,,,3,91
423,Curaçao,92,+4,,1,45
424,British Virgin Islands,63,,,1,10
425,St. Vincent Grenadines,61,,,,58
426,Macao,46,,,,46
427,Fiji,31,,,2,24
428,Timor-Leste,27,,,,25
429,New Caledonia,26,,,,23
430,Saint Lucia,26,,,,26
431,Grenada,24,,,,24
432,Dominica,22,,,,18
433,Laos,22,,,,21
434,Caribbean Netherlands,18,,,,7
435,St. Barth,18,,,,13
436,Saint Kitts and Nevis,17,,,,17
437,Greenland,14,,,,14
438,Montserrat,13,,,1,12
439,Falkland Islands,13,,,,13
440,Vatican City,12,,,,12
441,Western Sahara,10,,,1,8
442,MS Zaandam,9,,,2,
443,Saint Pierre Miquelon,6,+1,,,5
444,Anguilla,3,,,,3
445,China,85122,+10,,4634,80302
446,North America,7648225,+19921,+714,280189,4536355
447,Asia,7745773,+104916,+1553,152060,6241546
448,South America,6688579,+2737,+201,211692,5293800
449,Europe,3797402,+25519,+192,209970,2160014
450,Africa,1298948,+1625,+33,31164,1034316
451,Oceania,29289,+76,+5,784,24733
452,,721,,,15,651
453,World,27208937,+154794,+2698,885874,19291415
454,USA,6443242,+12090,+197,193015,3708450
455,India,4196616,+85777,+1060,71739,3241203
456,Brazil,4123000,,+36,126266,3296702
457,Russia,1025505,+5195,+61,17820,840949
458,Peru,683702,,,29687,506422
459,Colombia,658456,,,21156,507770
460,South Africa,636884,,,14779,561204
461,Mexico,629409,+6319,+475,67326,438754
462,Spain,517133,,,29418,N/A
463,Argentina,471806,,+68,9807,349132
464,Chile,422510,+2076,+41,11592,394399
465,Iran,386658,+1992,+139,22293,333900
466,UK,347152,+2988,+2,41551,N/A
467,Bangladesh,325157,+1592,+32,4479,221275
468,France,324777,+7071,,30724,87447
469,Saudi Arabia,320688,+756,+32,4081,296737
470,Pakistan,298509,+484,+2,6342,285898
471,Turkey,279806,+1578,+53,6673,251105
472,Italy,277634,+1297,+7,35541,210015
473,Iraq,256719,,,7422,195259
474,Germany,251226,+170,,9401,226208
475,Philippines,237365,+2839,+85,3875,184687
476,Indonesia,194109,+3444,+85,8025,138575
477,Ukraine,135894,+2107,+35,2846,62227
478,Canada,131653,+158,+2,9145,116136
479,Israel,130157,+1221,+5,1012,102462
480,Bolivia,120241,+661,+55,5398,69566
481,Qatar,120095,+231,+1,203,116998
482,Ecuador,118045,,,6724,102304
483,Kazakhstan,106301,+76,,1588,99523
484,Egypt,99712,,,5511,77208
485,Dominican Republic,99333,+557,+5,1845,72567
486,Panama,96305,,,2075,69223
487,Romania,95014,+1150,+43,3893,40307
488,Kuwait,89582,+619,+4,544,80521
489,Belgium,87825,+651,+5,9906,18555
490,Oman,87072,+692,+23,728,82406
491,Sweden,84985,,,5835,N/A
492,Guatemala,77481,,,2845,65595
493,Netherlands,74787,+925,+2,6243,N/A
494,UAE,73984,+513,,388,66095
495,Belarus,72859,+196,+6,711,71864
496,Japan,70876,,,1349,61445
497,Poland,70824,+437,+7,2120,54256
498,Morocco,70160,,,1329,53929
499,Honduras,64352,+554,+22,2006,13115
500,Portugal,60258,+315,+2,1840,42953
501,Ethiopia,57466,,,897,20776
502,Singapore,57022,+40,,27,56333
503,Nigeria,54905,,,1054,42922
504,Bahrain,54771,,+3,199,50645
505,Venezuela,52165,,,420,42006
506,Costa Rica,46920,,,478,18211
507,Algeria,46364,+293,+7,1556,32745
508,Nepal,46257,+980,+9,289,28941
509,Armenia,44783,+134,+2,897,40089
510,Ghana,44777,,,283,43693
511,Kyrgyzstan,44403,+87,,1060,39826
512,Switzerland,44401,+444,,2013,37100
513,Uzbekistan,43476,+183,+2,345,40880
514,Moldova,39797,+324,,1063,27799
515,Afghanistan,38398,+74,+3,1412,30537
516,Azerbaijan,37329,+137,+3,548,34705
517,Kenya,35103,+83,+3,597,21230
518,Serbia,31905,+56,+1,724,30637
519,Ireland,29672,+138,,1777,23364
520,Austria,29271,+184,+1,736,25043
521,Czechia,27957,+205,+4,435,19049
522,El Salvador,26308,+102,+7,759,15815
523,Australia,26278,+71,+5,753,22462
524,Palestine,26127,+552,+4,181,16843
525,Paraguay,21871,,,412,10810
526,Bosnia and Herzegovina,21560,+121,+4,655,14709
527,S. Korea,21177,+167,+1,334,16146
528,Lebanon,20426,+415,+4,191,6139
529,Cameroon,19604,,,415,18448
530,Ivory Coast,18472,,,119,17323
531,Denmark,17883,+147,,627,15760
532,Libya,17749,+655,+13,285,2081
533,Bulgaria,17050,,,671,12132
534,Madagascar,15319,+50,+1,200,14139
535,North Macedonia,15090,+92,+3,617,12235
536,Senegal,13987,+39,,290,9922
537,Sudan,13407,,,832,6725
538,Zambia,12776,+67,+3,295,11674
539,Croatia,11964,+225,+1,198,9008
540,Greece,11524,+138,+4,284,3804
541,Norway,11330,+34,,264,9348
542,Albania,10255,+153,+4,316,6106
543,DRC,10210,+32,+1,260,9439
544,Guinea,9722,+73,,61,8886
545,Malaysia,9397,+6,,128,9115
546,French Guiana,9322,,,62,8870
547,Tajikistan,8792,+35,,70,7581
548,Gabon,8601,,,53,7424
549,Namibia,8514,,,87,3643
550,Maldives,8486,,,29,5822
551,Hungary,8387,+495,,624,3958
552,Haiti,8360,+24,+2,214,5933
553,Finland,8291,+30,,336,7350
554,Mauritania,7134,,,160,6658
555,Luxembourg,6896,,,124,6126
556,Zimbabwe,6837,,,206,5345
557,Malawi,5611,,,175,3551
558,Montenegro,5422,,,107,4224
559,Djibouti,5387,,,60,5327
560,Equatorial Guinea,4972,,,83,4413
561,Hong Kong,4879,+21,,94,4510
562,Eswatini,4819,,,94,3903
563,Tunisia,4776,,,93,1701
564,CAR,4729,,,62,1818
565,Nicaragua,4668,,,141,2913
566,Congo,4628,,,102,1742
567,Slovakia,4614,+88,,37,2802
568,Rwanda,4349,,,18,2199
569,Mozambique,4341,,,26,2579
570,Suriname,4320,,+1,77,3426
571,Cuba,4309,+11,+1,101,3590
572,Cabo Verde,4275,,,42,3611
573,Uganda,3667,+128,+2,41,1564
574,Thailand,3444,+6,,58,3281
575,Mayotte,3374,,,40,2964
576,Somalia,3362,+30,,97,2696
577,Gambia,3197,+46,,99,1315
578,Slovenia,3165,+43,,135,2483
579,Sri Lanka,3122,+1,,12,2925
580,Syria,3104,,,130,715
581,Lithuania,3083,+43,,86,1954
582,Jamaica,3024,+60,+2,32,950
583,Angola,2935,,,117,1192
584,Mali,2842,+9,+1,127,2238
585,South Sudan,2544,,,48,1290
586,Estonia,2516,+25,,64,2170
587,Bahamas,2506,+30,+1,56,948
588,Aruba,2428,,,14,1206
589,Jordan,2411,+58,,16,1756
590,Guinea-Bissau,2245,,,38,1127
591,Trinidad and Tobago,2234,+4,,33,724
592,Réunion,2222,+107,+2,13,1313
593,Benin,2213,,,40,1793
594,Iceland,2136,,,10,2038
595,Sierra Leone,2054,+13,,71,1611
596,Malta,2039,+25,,14,1627
597,Botswana,2002,,,8,493
598,Yemen,1983,,,572,1197
599,New Zealand,1772,+5,,24,1632
600,Uruguay,1669,,,45,1459
601,Georgia,1650,+29,,19,1310
602,Cyprus,1507,,,21,1237
603,Togo,1477,,,32,1094
604,Guyana,1459,,,46,921
605,Latvia,1428,+3,,35,1187
606,Myanmar,1419,+166,+1,8,385
607,Burkina Faso,1408,,,55,1098
608,Guadeloupe,1363,,,18,336
609,Liberia,1306,,,82,1163
610,Andorra,1215,,,53,928
611,Belize,1194,,,15,287
612,Niger,1177,,,69,1091
613,Lesotho,1148,,,31,528
614,Vietnam,1049,,,35,815
615,Chad,1034,,,77,914
616,Sao Tome and Principe,898,,,15,859
617,Martinique,758,,,18,98
618,San Marino,716,,,42,660
619,Diamond Princess,712,,,13,651
620,French Polynesia,694,,,,360
621,Channel Islands,631,,,48,575
622,Turks and Caicos,598,+7,,5,264
623,Sint Maarten,511,,,19,302
624,Tanzania,509,,,21,183
625,Taiwan,493,+1,,7,473
626,Papua New Guinea,488,,,5,232
627,Burundi,460,,,1,357
628,Comoros,452,,,7,410
629,Faeroe Islands,413,,,,379
630,Mauritius,356,,,10,335
631,Isle of Man,337,+1,,24,312
632,Eritrea,330,,,,295
633,Gibraltar,315,+3,,,273
634,Mongolia,310,,,,296
635,Cambodia,274,,,,272
636,Saint Martin,239,,,6,79
637,Bhutan,228,,,,150
638,Cayman Islands,205,,,1,204
639,Barbados,178,,,7,154
640,Bermuda,175,,,9,158
641,Monaco,147,,,1,102
642,Brunei,145,,,3,139
643,Seychelles,136,,,,127
644,Liechtenstein,107,,,1,97
645,Antigua and Barbuda,95,,,3,91
646,Curaçao,92,+4,,1,45
647,British Virgin Islands,63,,,1,10
648,St. Vincent Grenadines,61,,,,58
649,Macao,46,,,,46
650,Fiji,31,,,2,24
651,Timor-Leste,27,,,,25
652,New Caledonia,26,,,,23
653,Saint Lucia,26,,,,26
654,Grenada,24,,,,24
655,Dominica,22,,,,18
656,Laos,22,,,,21
657,Caribbean Netherlands,18,,,,7
658,St. Barth,18,,,,13
659,Saint Kitts and Nevis,17,,,,17
660,Greenland,14,,,,14
661,Montserrat,13,,,1,12
662,Falkland Islands,13,,,,13
663,Vatican City,12,,,,12
664,Western Sahara,10,,,1,8
665,MS Zaandam,9,,,2,
666,Saint Pierre Miquelon,6,+1,,,5
667,Anguilla,3,,,,3
668,China,85122,+10,,4634,80302
